2024-10-11 5:38:14, 28.32, 52.63, 3, 816, 343
2024-10-11 5:53:15, 28.26, 51.97, 3, 822, 362
2024-10-11 6:8:15, 28.22, 51.82, 3, 899, 609
2024-10-11 6:23:15, 28.16, 52.01, 3, 861, 482
2024-10-11 6:38:16, 28.08, 51.91, 4, 948, 787
2024-10-11 6:53:16, 28.07, 51.83, 3, 854, 460
2024-10-11 7:8:16, 28.08, 51.82, 3, 862, 487
2024-10-11 7:23:16, 28.02, 52.43, 3, 852, 455
2024-10-11 7:38:17, 28.03, 52.69, 3, 834, 399
2024-10-11 7:53:17, 27.99, 52.17, 3, 810, 326
2024-10-11 8:8:17, 28.05, 51.86, 3, 814, 339
2024-10-11 8:23:17, 28.07, 52.45, 3, 833, 394
2024-10-11 8:38:18, 28.06, 52.94, 3, 842, 423
2024-10-11 8:53:18, 28.07, 52.40, 3, 844, 429
2024-10-11 9:8:18, 28.10, 52.20, 5, 1648, 4659
2024-10-11 9:23:19, 28.32, 54.32, 4, 917, 673
2024-10-11 9:38:19, 28.49, 54.81, 3, 890, 580
2024-10-11 9:53:19, 28.54, 51.43, 3, 801, 300
2024-10-11 10:8:20, 28.06, 51.05, 3, 890, 581
2024-10-11 10:23:20, 28.45, 49.81, 3, 737, 237
2024-10-11 10:38:20, 28.44, 49.62, 2, 638, 158
2024-10-11 10:53:20, 28.33, 48.79, 2, 580, 119
2024-10-11 11:8:21, 28.39, 47.96, 2, 559, 106
2024-10-11 11:23:21, 28.40, 49.49, 2, 628, 151
2024-10-11 11:38:21, 28.47, 47.87, 3, 735, 235
2024-10-11 11:53:22, 28.49, 50.90, 3, 794, 291
2024-10-11 12:8:22, 28.36, 50.25, 3, 901, 617
2024-10-11 12:23:22, 28.50, 52.38, 3, 754, 252
2024-10-11 12:38:22, 28.49, 49.61, 2, 593, 127
2024-10-11 12:53:23, 28.50, 46.87, 2, 579, 118
2024-10-11 13:8:23, 28.59, 47.96, 2, 652, 168
2024-10-11 13:23:23, 28.13, 45.39, 2, 685, 193
2024-10-11 13:38:24, 29.06, 48.66, 3, 751, 249
2024-10-11 13:53:24, 29.21, 45.14, 2, 616, 142
2024-10-11 14:8:24, 29.17, 44.41, 2, 671, 182
2024-10-11 14:23:25, 29.22, 44.62, 2, 709, 213
2024-10-11 14:38:25, 29.49, 44.44, 2, 690, 197
2024-10-11 14:53:25, 29.53, 43.69, 2, 672, 183
2024-10-11 15:8:25, 29.67, 42.78, 3, 823, 364
2024-10-11 15:23:26, 29.88, 42.40, 2, 616, 143
2024-10-11 15:38:26, 29.73, 39.47, 2, 585, 122
2024-10-11 15:53:26, 29.97, 39.23, 2, 595, 128
2024-10-11 16:8:27, 30.05, 39.02, 3, 877, 536
2024-10-11 16:23:27, 30.05, 39.12, 2, 605, 135
2024-10-11 16:38:27, 30.12, 38.20, 2, 587, 123
2024-10-11 16:53:28, 30.21, 39.42, 2, 687, 195
2024-10-11 17:8:28, 30.31, 39.46, 2, 571, 113
2024-10-11 17:23:28, 30.19, 38.82, 2, 595, 128
2024-10-11 17:38:28, 30.10, 39.02, 3, 769, 266
2024-10-11 17:53:29, 29.96, 39.49, 2, 628, 151
2024-10-11 18:8:29, 30.03, 39.44, 2, 626, 150
2024-10-11 18:23:29, 30.07, 40.16, 2, 693, 200
2024-10-11 18:38:30, 30.01, 40.86, 3, 731, 232
2024-10-11 18:53:30, 30.05, 42.42, 3, 805, 312
2024-10-11 19:8:30, 29.78, 44.73, 3, 793, 290
2024-10-11 19:23:30, 29.75, 44.38, 2, 706, 210
2024-10-11 19:38:31, 30.13, 46.08, 3, 830, 386
2024-10-11 19:53:31, 30.06, 46.65, 3, 823, 365
2024-10-11 20:8:31, 29.84, 47.22, 3, 894, 593
2024-10-11 20:23:32, 29.80, 46.47, 3, 830, 387
2024-10-11 20:38:32, 29.98, 47.52, 3, 859, 477
2024-10-11 20:53:32, 29.83, 46.24, 3, 869, 509
2024-10-11 21:8:33, 29.61, 45.95, 3, 903, 625
2024-10-11 21:23:33, 29.55, 46.16, 4, 1008, 1028
2024-10-11 21:38:33, 29.45, 46.85, 4, 1002, 1001
2024-10-11 21:53:34, 29.43, 46.62, 4, 1128, 1560
2024-10-11 22:8:34, 29.40, 45.96, 3, 903, 624
2024-10-11 22:23:34, 29.57, 45.46, 3, 865, 497
2024-10-11 22:38:34, 29.60, 45.17, 3, 858, 473
2024-10-11 22:53:35, 29.78, 45.25, 3, 867, 502
2024-10-11 23:8:35, 29.84, 46.86, 3, 888, 573
2024-10-11 23:23:35, 29.71, 47.76, 3, 874, 525
2024-10-11 23:38:36, 29.75, 47.01, 3, 864, 493
2024-10-11 23:53:36, 29.75, 46.32, 4, 954, 813
2024-10-12 0:8:36, 29.74, 47.45, 3, 895, 598
2024-10-12 0:23:37, 30.02, 47.08, 4, 962, 842
